early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,patch,early_duration_min,mid_duration_min,late_duration_min,win
8.1493,0.5433,0.1552,0.5714,0.349,3,0.0,9.0793,0.6603,0.1651,0.3333,0.2734,2,0.125,6.5614,0.5858,0.4687,0.8333,0.2664,1.0,0.0,0,YV-n2n8naJcABbIucWwOpdQiIib4oW4Fk3_IonVEOVMqPkqN5onbl_ktdrApLQqpFver7FXgD9N8pg,BR1_3252818380,16.12,12.885,12.115,8.535,0
4.7857,0.3571,0.2143,0.5,0.2679,2,0.0,5.6364,0.5455,0.0,0.4375,0.2749,2,0.125,4.3676,0.3911,0.1956,0.6129,0.2791,5.0,0.2857,0,IXyXv4_o8F2QVvnMk9sbzUH5imX4YDGMmquRVNGcm3j_Lmu1k8-i2Ki3HNYyJm4DcpaWzhNMGKzFDQ,BR1_3252861211,16.12,14.0,11.0,15.34,1
6.6193,0.2546,0.0,0.1429,0.2357,0,0.0,4.9938,0.454,0.227,0.6,0.2632,2,0.0,4.9769,0.2986,0.2986,0.1429,0.2094,1.0,0.3077,0,dfFpF8dKHmsGWmHeyOuCiLqc-g-yOtsiWbhiTB-zho3eOuSeDKsKnIo3wtVPmF6eCNCwrJZcDV_y8g,BR1_3252763679,16.12,11.784,13.216,10.046,0
7.0631,0.4106,0.3285,0.4615,0.2165,4,0.0,7.3299,0.5458,0.4679,0.4286,0.2946,2,0.0667,9.9418,0.4142,0.4142,1.0,0.2813,1.0,0.2,0,qFg-2IZP633Y62fB_lj_0f95rM8fQM8l3wdrDVdct0qDM00u8C6roZ_UR9yEr_mpq9nGgWTAE0Vx3A,BR1_3252654356,16.12,12.176,12.824,4.828,0
0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,0,,,,,,,,,0,qFg-2IZP633Y62fB_lj_0f95rM8fQM8l3wdrDVdct0qDM00u8C6roZ_UR9yEr_mpq9nGgWTAE0Vx3A,BR1_3252750156,16.12,14.0,11.0,-23.376,0
7.6982,0.3079,0.154,0.3333,0.1722,1,0.0,9.0562,0.289,0.4817,0.25,0.1457,2,0.0833,12.4803,0.32,0.32,1.0,0.0855,0.0,0.0,0,56GNxr7rUgCA3-MCUt5RYXiR0c9xBFXV-EQXn0EEGYH0Cjfe98Y4Ka2vC6HuHlWQtu2ZiMN-6lJFBg,BR1_3252072334,16.12,12.99,10.38,3.125,0
7.0,0.3571,0.0714,0.5294,0.2331,2,0.5,5.6131,0.5521,0.3681,0.3333,0.3468,2,0.0833,1.3713,0.3428,0.1714,0.4375,0.18,0.0,0.0,0,3OoYuJZbHGIKqxWL6PrjrKtSKHnZpnGYwh_y3GrnZoFO2PCFnthu3lPrTrRb3D_-oMrSTYx80BBuIg,BR1_3250836506,16.12,14.0,10.867,5.834,1
9.7532,0.1653,0.0,0.1429,0.2218,1,0.0,11.7678,0.4526,0.181,0.1875,0.1649,0,0.4444,6.832,0.297,0.297,0.3333,0.084,0.0,0.5714,0,56GNxr7rUgCA3-MCUt5RYXiR0c9xBFXV-EQXn0EEGYH0Cjfe98Y4Ka2vC6HuHlWQtu2ZiMN-6lJFBg,BR1_3248338437,16.11,12.099,11.047,3.366,1
8.5697,0.4357,0.0726,0.5556,0.2828,0,0.0,7.3677,0.4037,0.0,0.6,0.1907,0,0.0,5.5785,0.0,0.2231,0.6667,0.3088,0.0,0.1579,0,m80GvtA5xoIu4hmN1V135z3R-gcMn82VUcEzCKplbHB_5JUXOrDZZfnwWRSDzhuxHYFxDpuC_lyalA,BR1_3252540780,16.12,13.769,9.908,13.444,0
6.7143,0.4286,0.0,0.375,0.1721,2,0.0,6.7273,0.0909,0.1818,0.4737,0.1804,1,0.1111,4.5465,0.1299,0.5196,0.4545,0.226,1.0,0.2857,0,l-sbooP4KMYeF4q8wkgyU4kLQseeDQsYPd_6Y4AHRthxNfSJeSLWto6AhuyH6ozaZtE5pSjocFGQ9A,BR1_3251550004,16.12,14.0,11.0,7.698,0
9.4457,0.2725,0.0908,0.3333,0.4092,4,0.0,3.6455,0.0715,0.0,0.625,0.4755,2,0.5,,,,,,,,0,iOjDdbkDyvbj60OcRMVvTTT7pXUAKsfFljD-H-lo95IZi5lFf0T-k-tWWD5xmeJUQeLrTRUE58QDBg,BR1_3252828263,16.12,11.01,13.99,-9.729,1
